date,listeners,streams,followers
2023-01-01,247,335,4295
2023-01-02,325,464,4297
2023-01-03,329,484,4298
2023-01-04,368,471,4299
2023-01-05,371,524,4298
2023-01-06,371,547,4302
2023-01-07,359,491,4306
2023-01-08,275,373,4307
2023-01-09,409,562,4308
2023-01-10,420,570,4307
2023-01-11,423,579,4305
2023-01-12,402,606,4306
2023-01-13,366,512,4307
2023-01-14,310,387,4307
2023-01-15,301,412,4311
2023-01-16,415,551,4311
2023-01-17,413,606,4314
2023-01-18,407,525,4315
2023-01-19,404,570,4317
2023-01-20,387,566,4320
2023-01-21,321,532,4325
2023-01-22,338,450,4328
2023-01-23,404,595,4331
2023-01-24,367,530,4331
2023-01-25,373,608,4334
2023-01-26,428,583,4336
2023-01-27,377,543,4339
2023-01-28,319,428,4339
2023-01-29,316,416,4343
2023-01-30,479,673,4344
2023-01-31,487,694,4347
2023-02-01,436,657,4350
2023-02-02,388,508,4350
2023-02-03,376,562,4352
2023-02-04,336,464,4355
2023-02-05,303,425,4356
2023-02-06,367,484,4357
2023-02-07,379,527,4360
2023-02-08,386,499,4361
2023-02-09,445,593,4362
2023-02-10,414,608,4362
2023-02-11,362,503,4363
2023-02-12,349,462,4365
2023-02-13,394,560,4365
2023-02-14,387,516,4367
2023-02-15,377,494,4368
2023-02-16,414,583,4369
2023-02-17,384,547,4372
2023-02-18,395,518,4373
2023-02-19,296,383,4375
2023-02-20,459,622,4375
2023-02-21,468,593,4376
2023-02-22,412,503,4379
2023-02-23,474,655,4381
2023-02-24,427,552,4383
2023-02-25,392,483,4383
2023-02-26,336,461,4384
2023-02-27,426,528,4386
2023-02-28,412,524,4386
2023-03-01,428,618,4389
2023-03-02,431,641,4392
2023-03-03,453,680,4393
2023-03-04,380,519,4393
2023-03-05,351,492,4393
2023-03-06,489,641,4396
2023-03-07,522,687,4395
2023-03-08,525,800,4395
2023-03-09,532,841,4396
2023-03-10,512,677,4401
2023-03-11,436,618,4401
2023-03-12,407,539,4402
2023-03-13,449,666,4405
2023-03-14,487,783,4409
2023-03-15,510,755,4411
2023-03-16,511,833,4412
2023-03-17,453,697,4415
2023-03-18,477,724,4421
2023-03-19,418,735,4424
2023-03-20,555,799,4427
2023-03-21,705,1003,4435
2023-03-22,691,997,4440
2023-03-23,691,1013,4443
2023-03-24,644,1052,4447
2023-03-25,571,882,4449
2023-03-26,725,1116,4457
2023-03-27,526,847,4477
2023-03-28,488,847,4485
2023-03-29,470,900,4491
2023-03-30,471,800,4500
2023-03-31,841,1629,4512
2023-04-01,616,988,4520
2023-04-02,473,737,4521
2023-04-03,548,863,4525
2023-04-04,555,870,4530
2023-04-05,545,776,4531
2023-04-06,476,712,4532
2023-04-07,364,551,4534
2023-04-08,398,546,4536
2023-04-09,372,503,4541
2023-04-10,503,763,4546
2023-04-11,548,944,4553
2023-04-12,509,801,4564
2023-04-13,475,741,4566
2023-04-14,575,819,4570
2023-04-15,420,672,4571
2023-04-16,346,451,4571
2023-04-17,408,584,4573
2023-04-18,437,603,4575
2023-04-19,474,720,4577
2023-04-20,462,628,4578
2023-04-21,446,684,4581
2023-04-22,442,626,4585
2023-04-23,395,548,4588
2023-04-24,595,782,4589
2023-04-25,515,734,4592
2023-04-26,555,823,4597
2023-04-27,517,733,4597
2023-04-28,497,784,4598
2023-04-29,394,547,4600
2023-04-30,386,551,4603
2023-05-01,360,561,4605
2023-05-02,413,557,4606
2023-05-03,425,634,4609
2023-05-04,408,623,4610
2023-05-05,412,572,4612
2023-05-06,378,461,4611
2023-05-07,331,433,4611
2023-05-08,407,610,4615
2023-05-09,421,664,4620
2023-05-10,406,542,4623
2023-05-11,418,619,4623
2023-05-12,390,562,4624
2023-05-13,411,673,4628
2023-05-14,368,559,4629
2023-05-15,398,646,4635
2023-05-16,417,694,4641
2023-05-17,399,581,4640
2023-05-18,380,645,4644
2023-05-19,390,608,4647
2023-05-20,372,595,4648
2023-05-21,321,517,4652
2023-05-22,333,465,4654
2023-05-23,364,621,4656
2023-05-24,368,584,4657
2023-05-25,420,582,4660
2023-05-26,370,501,4659
2023-05-27,380,535,4658
2023-05-28,293,379,4659
2023-05-29,387,537,4661
2023-05-30,363,504,4663
2023-05-31,368,536,4666
2023-06-01,371,617,4668
2023-06-02,375,563,4670
2023-06-03,363,517,4670
2023-06-04,290,378,4669
2023-06-05,332,421,4668
2023-06-06,329,474,4671
2023-06-07,357,547,4673
2023-06-08,377,585,4674
2023-06-09,364,500,4677
2023-06-10,358,449,4679
2023-06-11,285,410,4679
2023-06-12,295,401,4678
2023-06-13,349,537,4679
2023-06-14,348,450,4682
2023-06-15,369,572,4683
2023-06-16,368,583,4682
2023-06-17,336,465,4683
2023-06-18,279,392,4683
2023-06-19,324,434,4685
2023-06-20,370,524,4686
2023-06-21,355,495,4687
2023-06-22,357,476,4688
2023-06-23,344,465,4688
2023-06-24,345,475,4688
2023-06-25,303,509,4690
2023-06-26,331,488,4690
2023-06-27,371,530,4690
2023-06-28,393,597,4690
2023-06-29,386,498,4690
2023-06-30,353,481,4694
2023-07-01,344,529,4699
2023-07-02,306,439,4701
2023-07-03,312,407,4701
2023-07-04,358,450,4702
2023-07-05,368,563,4705
2023-07-06,376,489,4707
2023-07-07,363,498,4712
2023-07-08,329,457,4716
2023-07-09,314,463,4719
2023-07-10,347,516,4723
2023-07-11,350,489,4726
2023-07-12,360,547,4729
2023-07-13,382,543,4731
2023-07-14,357,475,4732
2023-07-15,382,560,4734
2023-07-16,317,477,4735
2023-07-17,362,507,4736
2023-07-18,397,551,4736
2023-07-19,410,626,4737
2023-07-20,373,503,4740
2023-07-21,365,501,4741
2023-07-22,333,472,4741
2023-07-23,320,445,4741
2023-07-24,362,480,4746
2023-07-25,353,497,4747
2023-07-26,343,533,4749
2023-07-27,343,478,4749
2023-07-28,379,518,4752
2023-07-29,370,573,4754
2023-07-30,307,433,4757
2023-07-31,384,517,4761
2023-08-01,387,565,4763
2023-08-02,373,519,4766
2023-08-03,363,529,4767
2023-08-04,384,592,4766
2023-08-05,342,445,4768
2023-08-06,307,434,4769
2023-08-07,305,405,4770
2023-08-08,394,551,4771
2023-08-09,360,541,4773
2023-08-10,420,557,4774
2023-08-11,389,589,4775
2023-08-12,343,533,4778
2023-08-13,292,392,4779
2023-08-14,348,454,4782
2023-08-15,354,500,4783
2023-08-16,390,544,4783
2023-08-17,402,522,4783
2023-08-18,356,512,4784
2023-08-19,344,459,4784
2023-08-20,276,374,4786
2023-08-21,320,432,4787
2023-08-22,333,473,4789
2023-08-23,354,504,4789
