date,streams
2023-01-01,104
2023-01-02,154
2023-01-03,176
2023-01-04,163
2023-01-05,172
2023-01-06,194
2023-01-07,203
2023-01-08,164
2023-01-09,233
2023-01-10,245
2023-01-11,245
2023-01-12,240
2023-01-13,194
2023-01-14,165
2023-01-15,144
2023-01-16,203
2023-01-17,243
2023-01-18,224
2023-01-19,211
2023-01-20,204
2023-01-21,178
2023-01-22,176
2023-01-23,203
2023-01-24,181
2023-01-25,209
2023-01-26,200
2023-01-27,196
2023-01-28,168
2023-01-29,167
2023-01-30,312
2023-01-31,318
2023-02-01,290
2023-02-02,226
2023-02-03,226
2023-02-04,203
2023-02-05,157
2023-02-06,190
2023-02-07,235
2023-02-08,204
2023-02-09,221
2023-02-10,193
2023-02-11,187
2023-02-12,162
2023-02-13,163
2023-02-14,196
2023-02-15,193
2023-02-16,191
2023-02-17,206
2023-02-18,194
2023-02-19,145
2023-02-20,258
2023-02-21,244
2023-02-22,208
2023-02-23,268
2023-02-24,217
2023-02-25,194
2023-02-26,176
2023-02-27,190
2023-02-28,208
2023-03-01,215
2023-03-02,181
2023-03-03,224
2023-03-04,165
2023-03-05,154
2023-03-06,276
2023-03-07,246
2023-03-08,258
2023-03-09,274
2023-03-10,268
2023-03-11,200
2023-03-12,206
2023-03-13,224
2023-03-14,241
2023-03-15,219
2023-03-16,261
2023-03-17,229
2023-03-18,220
2023-03-19,202
2023-03-20,332
2023-03-21,423
2023-03-22,406
2023-03-23,366
2023-03-24,358
2023-03-25,295
2023-03-26,391
2023-03-27,248
2023-03-28,252
2023-03-29,244
2023-03-30,245
2023-03-31,231
2023-04-01,212
2023-04-02,173
2023-04-03,184
2023-04-04,189
2023-04-05,197
2023-04-06,189
2023-04-07,152
2023-04-08,166
2023-04-09,150
2023-04-10,229
2023-04-11,247
2023-04-12,231
2023-04-13,208
2023-04-14,188
2023-04-15,170
2023-04-16,130
2023-04-17,178
2023-04-18,201
2023-04-19,218
2023-04-20,189
2023-04-21,182
2023-04-22,158
2023-04-23,130
2023-04-24,352
2023-04-25,267
2023-04-26,279
2023-04-27,262
2023-04-28,267
2023-04-29,194
2023-04-30,201
2023-05-01,163
2023-05-02,173
2023-05-03,183
2023-05-04,181
2023-05-05,186
2023-05-06,150
2023-05-07,144
2023-05-08,176
2023-05-09,177
2023-05-10,168
2023-05-11,187
2023-05-12,195
2023-05-13,167
