title,author,listeners,streams,date_added
"Radio","Spotify",8200,35729,n/a
"Mixes","Spotify",1475,6359,n/a
"Rock Colombia","Spotify",4136,6311,2018-12-04
"Your DJ","Spotify",790,1540,n/a
"Release Radar","Spotify",945,1343,n/a
"Rock colombiano 80’s, 90's...","-",297,794,2020-06-23
"Festival Utopía 2024🍃","-",175,634,2024-10-11
"Smart Shuffle","Spotify",314,498,n/a
"Te tengo y no Te tengo ❤️🔥","-",157,424,2024-09-01
"On Repeat","Spotify",38,328,n/a
"rock colombiano","-",6,276,2023-10-09
"Friday On My Mind","-",42,255,2022-06-01
"Daylist","Spotify",181,214,n/a
"Café Terrario","-",3,200,2022-03-21
"Hikuri","-",11,186,2019-07-11
"Blend","Spotify",95,186,n/a
"OLAS SONORAS 2025","-",10,179,2025-04-17
"Your Top Songs 2024","Spotify",65,173,n/a
"This Is Yotuel","Spotify",82,131,n/a
"Your Top Songs 2023","Spotify",37,88,n/a
"Rock español playami","-",4,82,2021-04-04
"2024 ADULT STANDARD","-",15,64,2024-10-07
"El Bandido Bistrot","-",3,56,2023-09-17
"COLOMBIAN MUSIC","-",4,42,2023-06-25
"Trabajando ando","-",3,41,2023-02-24
"The way you move","-",3,40,2023-03-27
"Wetty by WETCARLOTA®","-",23,38,2022-12-05
"Colombian Doomer Music V 6.0","-",17,37,2022-10-04
"Música Fusión Colombiana","-",10,36,2022-02-08
"NUEVA BB","-",4,36,2022-03-31
"Calle y Poché: Sin Etiquetas [Playlist Oficial]","-",15,34,2023-06-23
"Español","-",3,33,2023-03-25
"Rap,  Hip Hop, Dancehall, Reggaetón, Reggae","-",18,32,2022-04-04
"Kaputt/COQ Vibes","-",16,32,2023-10-13
"Se asoma un arcoíris 2025","-",3,31,2025-01-07
"LATIN ALTERNATIVE RADIO (Música)","-",6,31,2024-04-13
"Your Top Songs 2022","Spotify",22,31,n/a
"Somos Rolos ","-",5,30,2020-09-25
"Ricax","-",6,30,2022-04-13
"Mirador","-",4,29,2018-12-11
"El poeta Haley ☄️","-",3,27,2022-08-09
"Un mix algo raro 🫠","-",3,27,2023-06-02
"Repeat Rewind","Spotify",17,27,n/a
"Radiónica Top 100 / 2020","-",5,26,2020-12-23
"La Bodega Verde 2","-",8,26,2017-08-09
"Para BV ❤️‍🩹","-",4,25,2024-01-13
"Blues/Rock hecho en Colombia","-",17,24,2017-11-19
"CHILL OCEAN VIBES","-",9,23,2022-08-01
"Your Top Songs 2021","Spotify",9,23,n/a
"Your Top Songs 2020","Spotify",14,22,n/a
"Your Top Songs 2018","Spotify",8,20,n/a
"Your Top Songs 2019","Spotify",10,20,n/a
"Folk","-",3,19,2024-03-26
"The Sound of Colombian Indie","-",13,19,2023-12-22
"LuckyMode Tracks","-",3,18,2023-11-13
"cerveza artesanal","-",5,18,2024-02-05
"IndiRock","-",3,17,2024-05-09
"Indie Latino","-",14,16,2017-06-20
"Enersin","-",3,16,2025-03-08
"Gala mitad de 2024","-",3,16,2024-02-01
"Malbec Blues","-",4,16,2020-11-25
"Hora de la Descubrición","-",11,15,2021-03-09
"Tatiana 😎","-",3,15,2024-04-03
"El libro secreto de las niñas","-",13,15,2021-05-25
"A Mí","-",4,15,2024-03-30
"MAMUT PRINCIPAL PLAYLIST","-",6,15,2022-09-30
"QUEEN- TelMeSomeThing","-",3,14,2023-03-06
"Rock novell","-",3,14,2020-05-29
"Your Summer Rewind","Spotify",8,14,n/a
"Amor y Deudas","-",3,13,2018-01-30
"Musica para hacer el amor (El Delicioso) 😈 - Music for Sex","-",3,12,2023-05-09
"Diselo girl, porque yo no puedo!","-",3,12,2024-05-03
"Prod. by Melov 𓅓","-",3,11,2021-12-21
"PODER FEMENINO","-",8,11,2024-11-20
"Fumemos un Cigarrillo...","-",3,11,2023-04-04
"Orquesta reggae","-",6,11,2019-04-12
"Sonora Casa Cultural","-",9,11,2023-05-03
"KF2","-",3,10,2023-04-24
"Popurri","-",3,10,2022-07-28
"Club Cabaret AORA by Durex®","-",4,10,2024-03-22
"The cooking playlist","-",3,10,2022-05-23
"C","-",3,9,2022-05-25
"GREAT SONGS","-",3,9,2022-08-26
"Mi playlist n.º 56","-",4,9,2023-10-26
"Bogotanians","-",7,8,2020-05-17
"Colectivo 💥","-",3,8,2024-09-14
"30 + 1","-",4,8,2024-02-22
"Chévere 🪅","-",3,8,2021-08-31
"HUÍ","-",4,7,2022-04-12
"Calle y Poché sin etiquetas","-",5,7,2023-06-23
"Ser","-",3,7,2023-01-21
"Blues Urbano, Rock Rupestre y Monas de Guayaba","-",4,7,2021-09-08
"Mujeres en castellano","-",4,7,2024-07-25
"💃🏼 Latinas 💃🏿 Pop Femenino💃🏽 Indie Femenino 💃🏼 Urbano Femenino 💃🏿 Rap Femenino💃🏽 Novedades Latinas ","-",7,7,2024-04-12
"Alternativa Latina & Más...","-",4,7,2018-12-21
"SIT, DRINK & RELAX","-",3,7,2018-10-16
"Rock Colombiano","-",3,6,2022-08-03
"Radiónica Top 100 / 2018","-",3,6,2020-01-22
