date,Biutiful,Brio,Cherokee,Lo Que Nadie Pudo,Nunca Me Olvides,Quien Contra El Amor,Quier Sentirlo Otra Vez,Se Acabo el Amor,Senorita Ley D,Te Tengo y No Te Tengo,Temporal
2025-05-01,20,76,48,4,13,5,15,18,13,43,3
2025-04-30,24,89,59,4,15,13,19,22,16,43,8
2025-04-29,19,75,47,5,12,7,13,23,9,39,4
2025-04-28,30,79,65,10,20,19,24,44,31,37,17
2025-04-27,17,78,38,7,11,16,22,24,19,31,12
2025-04-26,19,70,53,8,10,8,15,25,16,31,5
2025-04-25,26,95,52,15,20,12,19,31,19,44,15
2025-04-24,15,101,53,13,15,8,15,22,12,40,7
2025-04-23,32,84,56,12,16,19,20,30,24,47,5
2025-04-22,21,84,53,14,10,5,12,25,16,40,5
2025-04-21,14,69,34,6,5,10,6,20,6,33,3
2025-04-20,23,82,29,10,9,7,16,20,22,28,10
2025-04-19,20,100,49,11,9,9,12,19,17,34,6
2025-04-18,21,78,37,7,12,13,16,24,15,38,7
2025-04-17,23,97,39,7,13,8,13,26,27,40,8
2025-04-16,18,66,36,12,16,11,11,26,19,38,7
2025-04-15,23,94,42,8,19,15,21,40,23,42,13
2025-04-14,30,103,53,10,9,14,12,36,17,40,4
2025-04-13,21,73,35,7,11,12,16,28,19,29,7
2025-04-12,26,109,34,11,36,32,20,58,83,42,13
2025-04-11,22,124,38,14,52,57,31,100,110,43,5
2025-04-10,26,113,44,8,77,88,48,125,125,54,2
2025-04-09,31,103,50,6,62,66,30,54,108,35,4
2025-04-08,16,78,56,8,96,96,60,77,127,32,27
2025-04-07,26,74,32,7,78,105,49,62,121,35,25
2025-04-06,21,69,41,6,26,32,26,31,57,32,15
2025-04-05,21,76,34,7,60,68,37,55,75,46,34
2025-04-04,19,81,51,22,126,138,109,126,153,37,88
2025-04-03,23,74,41,14,76,94,56,63,116,36,34
2025-04-02,23,83,37,18,57,62,36,52,86,41,15
2025-04-01,26,90,52,13,75,93,48,55,101,33,22
2025-03-31,20,85,48,14,71,116,54,108,111,42,16
2025-03-30,24,80,33,7,31,45,30,41,54,37,9
2025-03-29,25,104,47,11,75,99,67,113,108,45,52
2025-03-28,27,98,54,11,107,111,81,98,186,45,29
2025-03-27,14,75,37,8,57,71,36,85,136,31,11
2025-03-26,19,72,35,7,58,87,57,91,98,30,20
